Date(UTC),Pair,Side,Price,Executed,Amount,Fee
23/02/2021 13:04,UNIUSDT,BUY,22.4657,1.7900000000UNI,40.21360300USDT,0.0001350900BNB
01/03/2021 12:50,SOLUSDT,BUY,14.9114,1.9800000000SOL,29.52457200USDT,0.0000896400BNB
12/04/2021 07:06,BNBUSDT,BUY,564.7605,0.2220000000BNB,125.37683100USDT,0.0001665000BNB
14/04/2021 15:51,DOGEUSDT,SELL,0.1304876,"5,000.0000000000DOGE",652.43800000USDT,0.0009016200BNB
15/04/2021 14:00,TRXUSDT,BUY,0.15318,390.8000000000TRX,59.86274400USDT,0.0000816100BNB
15/04/2021 14:00,TRXUSDT,BUY,0.15317,"1,567.7000000000TRX",240.12460900USDT,0.0003274200BNB
16/04/2021 12:21,MATICUSDT,BUY,0.42887,358.5000000000MATIC,153.74989500USDT,0.0002257000BNB
16/04/2021 14:44,LINKUSDT,BUY,39.9809,2.6400000000LINK,105.54957600USDT,0.0001544100BNB
16/04/2021 15:33,DOGEUSDT,SELL,0.3752311,"10,000.0000000000DOGE","3,752.31100000USDT",0.0054773100BNB
16/04/2021 16:18,DOGEUSDT,BUY,0.3399913,"4,339.0000000000DOGE","1,475.22225070USDT",0.0020862300BNB
16/04/2021 16:18,DOGEUSDT,BUY,0.3399978,"5,949.0000000000DOGE","2,022.64691220USDT",0.0028603300BNB
16/04/2021 16:19,DOGEUSDT,BUY,0.3426948,283.0000000000DOGE,96.98262840USDT,0.0001410800BNB
16/04/2021 16:25,LINKUSDT,BUY,42.0316,1.5300000000LINK,64.30834800USDT,0.0000948500BNB
17/04/2021 23:28,SCUSDT,BUY,0.054984,"1,165.0000000000SC",64.05636000USDT,0.0000927900BNB
17/04/2021 23:30,WINUSDT,BUY,0.00159911,"10,021.0000000000WIN",16.02468131USDT,0.0000229900BNB
18/04/2021 22:16,VETUSDT,BUY,0.246677,60.0000000000VET,14.80062000USDT,0.0000233000BNB
18/04/2021 22:16,VETUSDT,BUY,0.246693,134.0000000000VET,33.05686200USDT,0.0000520400BNB
18/04/2021 22:48,VETEUR,BUY,0.204,"1,225.7700000000VET",250.05708000EUR,0.0004665000BNB
19/04/2021 16:11,DOGEUSDT,SELL,0.39035,"6,000.0000000000DOGE","2,342.10000000USDT",0.0035248600BNB
19/04/2021 19:07,WINUSDT,BUY,0.00135979,"36,770.0000000000WIN",49.99947830USDT,0.0000739000BNB
19/04/2021 19:08,WINUSDT,BUY,0.00136159,"36,721.0000000000WIN",49.99894639USDT,0.0000735300BNB
19/04/2021 19:08,WINUSDT,BUY,0.00136299,"36,684.0000000000WIN",49.99992516USDT,0.0000734500BNB
19/04/2021 19:08,WINUSDT,BUY,0.00136327,"29,341.0000000000WIN",39.99970507USDT,0.0000587500BNB
20/04/2021 00:41,DOGEUSDT,SELL,0.345,"3,276.0000000000DOGE","1,130.22000000USDT",0.0017542000BNB
20/04/2021 00:41,DOGEUSDT,SELL,0.345,"6,724.0000000000DOGE","2,319.78000000USDT",0.0036005100BNB
20/04/2021 06:03,DOGEUSDT,SELL,0.414,"5,000.0000000000DOGE","2,070.00000000USDT",0.0030875900BNB
20/04/2021 09:41,DOGEUSDT,BUY,0.3902654,874.0000000000DOGE,341.09195960USDT,0.0005095600BNB
20/04/2021 09:41,DOGEUSDT,BUY,0.3902627,"5,457.0000000000DOGE","2,129.66355390USDT",0.0031815700BNB
20/04/2021 09:47,DOGEUSDT,BUY,0.3916207,"2,668.0000000000DOGE","1,044.84402760USDT",0.0015626500BNB
20/04/2021 09:52,DOGEUSDT,BUY,0.3849905,"2,198.0000000000DOGE",846.20911900USDT,0.0012873700BNB
20/04/2021 14:51,DOGEUSDT,BUY,0.367682,"1,142.0000000000DOGE",419.89284400USDT,0.0005969900BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3252953,614.0000000000DOGE,199.73131420USDT,0.0002780800BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3255878,"21,009.0000000000DOGE","6,840.27409020USDT",0.0095237100BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3252951,"1,289.0000000000DOGE",419.30538390USDT,0.0005837900BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3255893,"2,307.0000000000DOGE",751.13451510USDT,0.0010458000BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3252808,"1,701.0000000000DOGE",553.30264080USDT,0.0007703600BNB
20/04/2021 16:25,DOGEUSDT,SELL,0.3252333,"2,049.0000000000DOGE",666.40303170USDT,0.0009278300BNB
